sig	state	patient	n_state	n_other	delta
C5_STABLE_DOWN_CCDEP	NPC	BT338	26	451	-0.00095168128541534
C5_STABLE_DOWN_CCDEP	NPC	BT346	154	831	0.0007483009995895573
C5_STABLE_DOWN_CCDEP	NPC	BT363	95	1414	-0.002031628296991772
C5_STABLE_DOWN_CCDEP	NPC	BT368	525	1194	-0.00365922485407999
C5_STABLE_DOWN_CCDEP	NPC	BT389	228	484	9.882174813002909e-05
C5_STABLE_DOWN_CCDEP	NPC	BT390	22	394	0.010474363098538664
C5_STABLE_DOWN_CCDEP	NPC	BT397	41	169	0.0019721298503543316
C5_STABLE_DOWN_CCDEP	NPC	BT400	159	2303	-0.0009805605566441944
C5_STABLE_DOWN_CCDEP	NPC	BT402	22	521	0.0011568348618554714
C5_STABLE_DOWN_CCDEP	NPC	BT409	34	553	0.007511732471399579
C5_STABLE_DOWN_CCDEP	Cycling	BT333	171	216	-0.0018378572570741936
C5_STABLE_DOWN_CCDEP	Cycling	BT338	284	193	-0.0021971019106903356
C5_STABLE_DOWN_CCDEP	Cycling	BT346	259	726	-0.005945664299303655
C5_STABLE_DOWN_CCDEP	Cycling	BT363	267	1242	-0.009537087978683023
C5_STABLE_DOWN_CCDEP	Cycling	BT368	709	1010	-0.0025772980374766385
C5_STABLE_DOWN_CCDEP	Cycling	BT389	324	388	-0.005308557959403437
C5_STABLE_DOWN_CCDEP	Cycling	BT390	169	247	-0.008528591704398458
C5_STABLE_DOWN_CCDEP	Cycling	BT397	120	90	-0.0019220874417033018
C5_STABLE_DOWN_CCDEP	Cycling	BT400	1238	1224	0.000824211067399494
C5_STABLE_DOWN_CCDEP	Cycling	BT402	273	270	-0.011353720077708962
C5_STABLE_DOWN_CCDEP	Cycling	BT409	345	242	-0.007590545647158997
M_HSF1_heat_shock_CCDEP	MES	BT333	8	379	0.014014228929806638
M_HSF1_heat_shock_CCDEP	MES	BT338	48	429	-0.006859342278298319
M_HSF1_heat_shock_CCDEP	MES	BT346	324	661	-0.004814164304787871
M_HSF1_heat_shock_CCDEP	MES	BT363	202	1307	-0.0036236898290821218
M_HSF1_heat_shock_CCDEP	MES	BT368	132	1587	0.013778053211293662
M_HSF1_heat_shock_CCDEP	MES	BT389	34	678	0.0052174387893481056
M_HSF1_heat_shock_CCDEP	MES	BT390	52	364	0.010946984706803886
M_HSF1_heat_shock_CCDEP	MES	BT400	120	2342	-0.00868897015372172
M_HSF1_heat_shock_CCDEP	MES	BT402	68	475	0.016429850841247706
M_HSF1_heat_shock_CCDEP	MES	BT409	42	545	0.00603487577818429
M_HSF1_heat_shock_CCDEP	NPC	BT333	63	324	0.025779538802793045
M_HSF1_heat_shock_CCDEP	NPC	BT338	26	451	0.009836087685839656
M_HSF1_heat_shock_CCDEP	NPC	BT346	154	831	0.018859448130208345
M_HSF1_heat_shock_CCDEP	NPC	BT363	95	1414	0.0020048735752213886
